1662123058.874979 client started (36232): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1662123058.875053 on Darwin 21.2.0 Darwin Kernel Version 21.2.0: Sun Nov 28 20:28:41 PST 2021; root:xnu-8019.61.5~1/RELEASE_ARM64_T6000
1662123058.875077 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1662123058.877869 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877877 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.877887 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.877897 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.877907 sending message 112 to peer 0x138048000 (8 bytes)
1662123058.877915 sending message 112 to peer 0x138048000 (8 bytes)
1662123058.877925 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877935 sending message 112 to peer 0x138048000 (7 bytes)
1662123058.877944 sending message 112 to peer 0x138048000 (7 bytes)
1662123058.877955 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.877964 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.877975 sending message 112 to peer 0x138048000 (15 bytes)
1662123058.877984 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.877994 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878004 sending message 112 to peer 0x138048000 (8 bytes)
1662123058.878012 sending message 112 to peer 0x138048000 (14 bytes)
1662123058.878021 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878031 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.878040 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878073 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878079 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878086 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878092 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878101 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878109 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878116 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878123 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878129 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878136 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878142 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878148 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878154 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878160 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878166 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878173 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878179 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.878185 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878191 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878197 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878203 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878209 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878213 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878220 sending message 112 to peer 0x138048000 (8 bytes)
1662123058.878225 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878231 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878237 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878243 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878248 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878255 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878262 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878269 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878274 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878280 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878286 sending message 112 to peer 0x138048000 (8 bytes)
1662123058.878292 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878299 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878305 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878311 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878317 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878324 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878330 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878336 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878342 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878348 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878353 sending message 112 to peer 0x138048000 (8 bytes)
1662123058.878359 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878366 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878371 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878375 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878382 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878387 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878393 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878399 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878404 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878410 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878417 sending message 112 to peer 0x138048000 (8 bytes)
1662123058.878424 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878432 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878452 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878460 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878466 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878472 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878478 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878484 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878492 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878501 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878507 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878514 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878521 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878526 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878531 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878537 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878543 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878550 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878557 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878564 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878570 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878576 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878581 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878587 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878593 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878599 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878607 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878614 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878620 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878626 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878632 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878639 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878646 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878653 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878660 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878667 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878672 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878677 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878682 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878689 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878695 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878702 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878709 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878714 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878721 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878727 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878733 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878738 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878744 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878750 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878756 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878763 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.878769 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878775 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878780 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878787 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878792 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878799 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878805 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.878811 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878818 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878825 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878842 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878848 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878855 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878862 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878869 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878876 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878882 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878888 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878894 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878900 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878906 sending message 112 to peer 0x138048000 (11 bytes)
1662123058.878912 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878918 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878925 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878929 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878937 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878945 sending message 112 to peer 0x138048000 (21 bytes)
1662123058.878952 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.878959 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.878964 sending message 112 to peer 0x138048000 (6 bytes)
1662123058.878972 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878977 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.878981 sending message 112 to peer 0x138048000 (24 bytes)
1662123058.878986 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.878992 sending message 112 to peer 0x138048000 (9 bytes)
1662123058.879000 sending message 112 to peer 0x138048000 (70 bytes)
1662123058.879007 sending message 112 to peer 0x138048000 (69 bytes)
1662123058.879015 sending message 112 to peer 0x138048000 (12 bytes)
1662123058.879022 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.879026 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.879032 sending message 112 to peer 0x138048000 (24 bytes)
1662123058.879038 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.879044 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.879049 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.879056 sending message 112 to peer 0x138048000 (10 bytes)
1662123058.879062 sending message 112 to peer 0x138048000 (13 bytes)
1662123058.879068 sending message 112 to peer 0x138048000 (15 bytes)
1662123058.879074 sending message 112 to peer 0x138048000 (5 bytes)
1662123058.879082 sending message 104 to peer 0x138048000 (0 bytes)
1662123058.879089 sending message 110 to peer 0x138048000 (0 bytes)
1662123058.879095 sending message 107 to peer 0x138048000 (4 bytes)
1662123058.879101 sending message 105 to peer 0x138048000 (60 bytes)
1662123058.879108 sending message 105 to peer 0x138048000 (66 bytes)
1662123058.879118 sending message 105 to peer 0x138048000 (27 bytes)
1662123058.879125 sending message 105 to peer 0x138048000 (15 bytes)
1662123058.879133 sending message 105 to peer 0x138048000 (22 bytes)
1662123058.879141 sending message 105 to peer 0x138048000 (14 bytes)
1662123058.879148 sending message 105 to peer 0x138048000 (17 bytes)
1662123058.879152 sending message 105 to peer 0x138048000 (45 bytes)
1662123058.879158 sending message 105 to peer 0x138048000 (15 bytes)
1662123058.879163 sending message 105 to peer 0x138048000 (43 bytes)
1662123058.879169 sending message 105 to peer 0x138048000 (23 bytes)
1662123058.879175 sending message 105 to peer 0x138048000 (28 bytes)
1662123058.879181 sending message 105 to peer 0x138048000 (23 bytes)
1662123058.879187 sending message 105 to peer 0x138048000 (504 bytes)
1662123058.879193 sending message 105 to peer 0x138048000 (19 bytes)
1662123058.879199 sending message 105 to peer 0x138048000 (17 bytes)
1662123058.879206 sending message 105 to peer 0x138048000 (20 bytes)
1662123058.879212 sending message 105 to peer 0x138048000 (22 bytes)
1662123058.879236 sending message 105 to peer 0x138048000 (20 bytes)
1662123058.879242 sending message 105 to peer 0x138048000 (32 bytes)
1662123058.879248 sending message 105 to peer 0x138048000 (57 bytes)
1662123058.879254 sending message 105 to peer 0x138048000 (25 bytes)
1662123058.879260 sending message 105 to peer 0x138048000 (19 bytes)
1662123058.879266 sending message 105 to peer 0x138048000 (28 bytes)
1662123058.879272 sending message 105 to peer 0x138048000 (32 bytes)
1662123058.879278 sending message 105 to peer 0x138048000 (61 bytes)
1662123058.879284 sending message 105 to peer 0x138048000 (8 bytes)
1662123058.879290 sending message 105 to peer 0x138048000 (52 bytes)
1662123058.879295 sending message 105 to peer 0x138048000 (30 bytes)
1662123058.879303 sending message 105 to peer 0x138048000 (37 bytes)
1662123058.879311 sending message 105 to peer 0x138048000 (34 bytes)
1662123058.879318 sending message 105 to peer 0x138048000 (34 bytes)
1662123058.879323 sending message 105 to peer 0x138048000 (35 bytes)
1662123058.879329 sending message 105 to peer 0x138048000 (42 bytes)
1662123058.879335 sending message 105 to peer 0x138048000 (11 bytes)
1662123058.879340 sending message 105 to peer 0x138048000 (8 bytes)
1662123058.879346 sending message 105 to peer 0x138048000 (32 bytes)
1662123058.879352 sending message 105 to peer 0x138048000 (12 bytes)
1662123058.879357 sending message 105 to peer 0x138048000 (37 bytes)
1662123058.879363 sending message 105 to peer 0x138048000 (89 bytes)
1662123058.879368 sending message 105 to peer 0x138048000 (119 bytes)
1662123058.879373 sending message 105 to peer 0x138048000 (12 bytes)
1662123058.879378 sending message 105 to peer 0x138048000 (42 bytes)
1662123058.879386 sending message 105 to peer 0x138048000 (33 bytes)
1662123058.879392 sending message 105 to peer 0x138048000 (64 bytes)
1662123058.879398 sending message 105 to peer 0x138048000 (46 bytes)
1662123058.879404 sending message 105 to peer 0x138048000 (22 bytes)
1662123058.879411 sending message 105 to peer 0x138048000 (46 bytes)
1662123058.879418 sending message 105 to peer 0x138048000 (26 bytes)
1662123058.879423 sending message 105 to peer 0x138048000 (68 bytes)
1662123058.879430 sending message 105 to peer 0x138048000 (73 bytes)
1662123058.879436 sending message 105 to peer 0x138048000 (69 bytes)
1662123058.879442 sending message 105 to peer 0x138048000 (25 bytes)
1662123058.879448 sending message 106 to peer 0x138048000 (0 bytes)
1662123058.879576 sending message 200 to peer 0x138048000 (4 bytes)
1662123058.879584 client loop enter
1662123058.879615 client_signal: Child exited: 20
1662123058.921888 peer 0x138048000 message 207
1662123058.921895 sending message 208 to peer 0x138048000 (0 bytes)
1662123061.704210 peer 0x138048000 message 203
1662123061.704240 sending message 205 to peer 0x138048000 (0 bytes)
1662123061.704438 peer 0x138048000 message 204
1662123061.704452 client loop exit
